name,ingredients,cuisine,description,instructions
Spaghetti Aglio e Olio,"Spaghetti, Garlic, Olive oil, Chili flakes, Parsley, Salt",Italian,"Simple Italian pasta tossed with garlic, olive oil, chili flakes, and parsley.","Step-1: Cook spaghetti until al dente; Step-2: Heat olive oil, sauté sliced garlic and chili flakes; Step-3: Toss spaghetti with garlic oil; Step-4: Add chopped parsley; Step-5: Serve hot."
Chicken Tikka Masala,"Chicken breast, Yogurt, Onion, Garlic, Ginger, Tomato puree, Garam masala, Cumin, Coriander, Chili powder, Cream",Indian,"Tender chicken pieces cooked in a creamy, spiced tomato sauce.","Step-1: Marinate chicken in yogurt and spices 1 hr; Step-2: Sauté onion, garlic, ginger; Step-3: Add tomato puree and spices, simmer 10 min; Step-4: Add chicken and cook until done; Step-5: Stir in cream, serve with rice or naan."
Vegetable Stir-Fry,"Broccoli, Carrot, Bell pepper, Snow peas, Onion, Garlic, Soy sauce, Olive oil",Chinese,"Mixed vegetables quickly stir-fried with soy sauce, garlic, and ginger.","Step-1: Heat oil in pan, sauté garlic; Step-2: Add vegetables and stir-fry 5–7 min; Step-3: Add soy sauce and toss; Step-4: Cook 2 more min; Step-5: Serve hot with rice."
Falafel,"Chickpeas, Onion, Garlic, Parsley, Cumin, Coriander, Flour, Baking powder, Salt, Olive oil",Middle Eastern,"Deep-fried balls made from ground chickpeas and spices.","Step-1: Soak chickpeas overnight; Step-2: Blend with onion, garlic, parsley, and spices; Step-3: Form balls and fry until golden; Step-4: Drain excess oil; Step-5: Serve with tahini sauce or pita."
Lentil Soup,"Red lentils, Carrot, Celery, Onion, Garlic, Vegetable broth, Cumin, Turmeric, Olive oil, Salt, Pepper",Middle Eastern,"Comforting soup made from lentils, vegetables, and spices.","Step-1: Sauté onion, garlic, carrot, celery in olive oil; Step-2: Add lentils and spices; Step-3: Pour in broth, simmer 20–25 min; Step-4: Blend partially for smooth texture; Step-5: Serve warm."
Chicken Fried Rice,"Cooked rice, Chicken breast, Onion, Garlic, Carrot, Peas, Soy sauce, Eggs, Oil",Chinese,"Stir-fried rice with chicken, vegetables, and soy sauce.","Step-1: Cook chicken in oil until browned; Step-2: Add vegetables, sauté 3 min; Step-3: Push veggies aside, scramble eggs; Step-4: Add rice and soy sauce, toss well; Step-5: Serve hot."
Hummus,"Chickpeas, Tahini, Lemon juice, Garlic, Olive oil, Salt",Middle Eastern,"Creamy chickpea dip blended with tahini, lemon, and garlic.","Step-1: Blend chickpeas, tahini, lemon juice, garlic; Step-2: Adjust salt and consistency; Step-3: Drizzle olive oil; Step-4: Serve with pita bread."
Grilled Chicken Shawarma,"Chicken thighs, Yogurt, Garlic, Lemon juice, Cumin, Coriander, Paprika, Olive oil",Middle Eastern,"Marinated chicken grilled and served with spices, often in a wrap.","Step-1: Marinate chicken 2 hr; Step-2: Grill or bake chicken 20–25 min; Step-3: Slice thinly; Step-4: Serve with salad or wrap."
Caprese Salad,"Tomato, Mozzarella, Basil, Olive oil, Balsamic vinegar, Salt",Italian,"Fresh mozzarella, tomatoes, and basil drizzled with olive oil.","Step-1: Slice tomatoes and mozzarella; Step-2: Layer with basil; Step-3: Drizzle olive oil and balsamic; Step-4: Season with salt; Step-5: Serve fresh."
Quinoa Salad,"Quinoa, Cucumber, Tomato, Red onion, Parsley, Lemon juice, Olive oil, Salt",International,"Protein-rich salad with quinoa, vegetables, and dressing.",Step-1: Cook quinoa and cool; Step-2: Chop vegetables and parsley; Step-3: Mix all with lemon juice and olive oil; Step-4: Season with salt; Step-5: Serve chilled.
